t[sec];q1[m3/sec];h1[m];h2[m];q2_measurement[m3/sec]
125,25;0,0105;0,179811189;0,010412392;0,011008804
125,5;0,011;0,179916212;0,010405583;0,009539719
125,75;0,0115;0,180175387;0,010400353;0,010529576
126;0,012;0,180585856;0,010398122;0,009799766
126,25;0,0125;0,181144836;0,010400162;0,01051686
126,5;0,013;0,181849623;0,010407593;0,008669529
126,75;0,0135;0,182697585;0,010421406;0,011486437
127;0,014;0,183686157;0,01044247;0,009679009
127,25;0,0145;0,184812837;0,010471547;0,009261334
127,5;0,015;0,186075188;0,010509303;0,009210984
127,75;0,0155;0,187470828;0,010556318;0,010598864
128;0,016;0,188997431;0,010613096;0,009681892
128,25;0,0165;0,190652725;0,010680075;0,011037052
128,5;0,017;0,192434487;0,010757633;0,010501949
128,75;0,0175;0,194340546;0,010846097;0,011405465
129;0,018;0,196368775;0,010945748;0,009661044
129,25;0,0185;0,198517094;0,011056829;0,010631554
129,5;0,019;0,200783464;0,011179552;0,010610673
129,75;0,0195;0,20316589;0,011314097;0,009989201
130;0,02;0,205662419;0,011460623;0,010148062
130,25;0,0205;0,208271136;0,011619269;0,01101544
130,5;0,021;0,210990163;0,011790157;0,011418254
130,75;0,0215;0,213817663;0,011973396;0,010908644
131;0,022;0,216751833;0,012169084;0,008549445
131,25;0,0225;0,219790906;0,012377313;0,010777579
131,5;0,023;0,222933151;0,012598166;0,013213372
131,75;0,0235;0,22617687;0,012831722;0,01270228
132;0,024;0,229520399;0,013078059;0,0108432
132,25;0,0245;0,232962105;0,01333725;0,010967451
132,5;0,025;0,236500389;0,013609368;0,011748878
132,75;0,0255;0,240133682;0,013894487;0,011874436
133;0,026;0,243860447;0,014192679;0,011970293
133,25;0,0265;0,247679177;0,01450402;0,01092969
133,5;0,027;0,251588393;0,014828583;0,012253771
133,75;0,0275;0,255586646;0,015166446;0,012932153
134;0,028;0,259672517;0,015517688;0,011267368
134,25;0,0285;0,263844614;0,015882387;0,012710644
134,5;0,029;0,268101573;0,016260627;0,013035647
134,75;0,0295;0,272442055;0,01665249;0,012262562
135;0,03;0,276864751;0,017058061;0,01294216
135,25;0,0305;0,281368375;0,017477428;0,01398459
135,5;0,031;0,28595167;0,017910679;0,013177177
135,75;0,0315;0,290613401;0,018357904;0,014019764
136;0,032;0,295352361;0,018819193;0,014943269
136,25;0,0325;0,300167364;0,019294639;0,014758057
136,5;0,033;0,30505725;0,019784336;0,012568619
136,75;0,0335;0,310020883;0,020288376;0,014831791
137;0,034;0,315057149;0,020806856;0,012918538
137,25;0,0345;0,320164956;0,02133987;0,017116265
137,5;0,035;0,325343235;0,021887514;0,016133885
137,75;0,0355;0,33059094;0,022449885;0,015256393
138;0,036;0,335907046;0,023027078;0,01494832
138,25;0,0365;0,341290546;0,023619189;0,013143915
138,5;0,037;0,346740458;0,024226315;0,013685174
138,75;0,0375;0,352255818;0,024848551;0,015659349
139;0,038;0,357835682;0,025485994;0,016562808
